"http://lvyou.baidu.com/dongfangmingzhu/" "{'seq_sort': 0, 'relate_path': u'dongfangmingzhu', 'map_info': u'121.506253,31.245658', 'sid': u'63afa4c71261cb1fadacc0ff'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/waitan/" "{'seq_sort': 0, 'relate_path': u'waitan', 'map_info': u'121.496713,31.241772', 'sid': u'28942b074d001b3184b27efe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/tianzifang/" "{'seq_sort': 0, 'relate_path': u'tianzifang', 'map_info': u'121.475844,31.213882', 'sid': u'e70d1b3184b2b2b69a057cfe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/laochenghuangmiao/" "{'seq_sort': 0, 'relate_path': u'laochenghuangmiao', 'map_info': u'121.499169,31.231128', 'sid': u'572a464640351f1255bf06fe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/nanjinglu/" "{'seq_sort': 0, 'relate_path': u'nanjinglu', 'map_info': u'121.4818,31.240769', 'sid': u'd55ab4f00599b2be230634fe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/shanghaidushafurenlaxiangguan/" "{'seq_sort': 0, 'relate_path': u'shanghaidushafurenlaxiangguan', 'map_info': u'121.47987,31.240479', 'sid': u'3e8875ed2e699613cd1724fe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/shibohui/" "{'seq_sort': 0, 'relate_path': u'shibohui', 'map_info': u'121.511981,31.201826', 'sid': u'53c4c005c401f1153f0f77fe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/zhujiajiao/" "{'seq_sort': 0, 'relate_path': u'zhujiajiao', 'map_info': u'121.066194,31.114829', 'sid': u'670cf1153f0fd41f975775fe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/xintiandi/" "{'seq_sort': 0, 'relate_path': u'xintiandi', 'map_info': u'121.481603,31.229416', 'sid': u'28bfb2b69a056d0754c87afe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/fudandaxue/" "{'seq_sort': 0, 'relate_path': u'fudandaxue', 'map_info': u'121.510465,31.302285', 'sid': u'48c170c0c1ecdeb81cc82cfe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/shanghaikejiguan/" "{'seq_sort': 0, 'relate_path': u'shanghaikejiguan', 'map_info': u'121.548202,31.224414', 'sid': u'34c1da000a5c91ca87271afe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/shanghaiyuyuan/" "{'seq_sort': 0, 'relate_path': u'shanghaiyuyuan', 'map_info': u'121.498774,31.233067', 'sid': u'e4c55f19f4778b2de74f66fe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/jinmaodasha/" "{'seq_sort': 0, 'relate_path': u'jinmaodasha', 'map_info': u'121.512521,31.240917', 'sid': u'467a8b2de74f2ebeee3864fe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/chongmingdao/" "{'seq_sort': 0, 'relate_path': u'chongmingdao', 'map_info': u'121.481409,31.678292', 'sid': u'f8184ff17fe4381b212011fe'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/shanghaijinshan/" "{'seq_sort': 0, 'relate_path': u'shanghaijinshan', 'map_info': u'121.348904,30.747999', 'sid': u'c42d91ca8727464640351882'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/qibaolaojie/" "{'seq_sort': 0, 'relate_path': u'qibaolaojie', 'map_info': u'121.360118,31.160031', 'sid': u'd6fdc821e59aba1c7066d6fd'}" "AttractionParser" "handle error"
