"http://lvyou.baidu.com/shanghai/dongfangmingzhu/" "{'seq_sort': 0, 'map_info': u'121.506253,31.245658'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/waitan/" "{'seq_sort': 0, 'map_info': u'121.496713,31.241772'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/tianzifang/" "{'seq_sort': 0, 'map_info': u'121.475844,31.213882'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/laochenghuangmiao/" "{'seq_sort': 0, 'map_info': u'121.499169,31.231128'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/nanjinglu/" "{'seq_sort': 0, 'map_info': u'121.4818,31.240769'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/shanghaidushafurenlaxiangguan/" "{'seq_sort': 0, 'map_info': u'121.47987,31.240479'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/shibohui/" "{'seq_sort': 0, 'map_info': u'121.511981,31.201826'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/zhujiajiao/" "{'seq_sort': 0, 'map_info': u'121.066194,31.114829'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/xintiandi/" "{'seq_sort': 0, 'map_info': u'121.481603,31.229416'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/fudandaxue/" "{'seq_sort': 0, 'map_info': u'121.510465,31.302285'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/shanghaikejiguan/" "{'seq_sort': 0, 'map_info': u'121.548202,31.224414'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/shanghaiyuyuan/" "{'seq_sort': 0, 'map_info': u'121.498774,31.233067'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/jinmaodasha/" "{'seq_sort': 0, 'map_info': u'121.512521,31.240917'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/chongmingdao/" "{'seq_sort': 0, 'map_info': u'121.481409,31.678292'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/shanghaijinshan/" "{'seq_sort': 0, 'map_info': u'121.348904,30.747999'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghai/qibaolaojie/" "{'seq_sort': 0, 'map_info': u'121.360118,31.160031'}" "AttractionParser" "unsupported"
