"http://lvyou.baidu.com/anfulu/" "{'seq_sort': 96, 'relate_path': u'anfulu', 'map_info': u'122.299597,29.81942', 'sid': u'cc1b55bf99d28a59bddd05fa'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/jinganbieshu/" "{'seq_sort': 112, 'relate_path': u'jinganbieshu', 'map_info': u'121.464086,31.234933', 'sid': u'ea51f8ccda000a5c91ca1d82'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghaihunanlu/" "{'seq_sort': 112, 'relate_path': u'shanghaihunanlu', 'map_info': u'121.446899,31.214537', 'sid': u'783e261257ae7e7ede1c5ab7'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/jingangongyuan/" "{'seq_sort': 160, 'relate_path': u'jingangongyuan', 'map_info': u'121.453196,31.228285', 'sid': u'34bdda000a5c91ca87271a82'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/jiditiyanguan/" "{'seq_sort': 192, 'relate_path': u'jiditiyanguan', 'map_info': u'121.503883,31.243733', 'sid': u'1ec7bbeb76b3690f23d1baa0'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/chongmingxuegong/" "{'seq_sort': 192, 'relate_path': u'chongmingxuegong', 'map_info': u'', 'sid': u'c24613551b123dff1e40afbb'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/dishinidujiaqu/" "{'seq_sort': 208, 'relate_path': u'dishinidujiaqu', 'map_info': u'121.540791,31.209637', 'sid': u'8a94c0ecdeb81cc848362da7'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/songjunjiufeng/" "{'seq_sort': 208, 'relate_path': u'songjunjiufeng', 'map_info': u'121.190414,31.105299', 'sid': u'da929613cd1729d6be782208'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/beidajie/" "{'seq_sort': 208, 'relate_path': u'beidajie', 'map_info': u'116.292071,39.865641', 'sid': u'ccc655bf99d28a59bddd0527'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghaichenghuangmiao/" "{'seq_sort': 240, 'relate_path': u'shanghaichenghuangmiao', 'map_info': u'121.499263,31.231174', 'sid': u'c23d4653ba3ece0ae6bc9534'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/donghaisenlinshengtaiyuan/" "{'seq_sort': 240, 'relate_path': u'donghaisenlinshengtaiyuan', 'map_info': u'121.498203,30.844799', 'sid': u'7899bc20db6e97289b7ef805'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/beioufengqingjie/" "{'seq_sort': 240, 'relate_path': u'beioufengqingjie', 'map_info': u'121.36468,31.404309', 'sid': u'1af8633ee7c8273681fae9fe'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/qichanggongyuan/" "{'seq_sort': 240, 'relate_path': u'qichanggongyuan', 'map_info': u'121.237342,31.030661', 'sid': u'7de8bcd414ff762fcb8fdaf8'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/chongmingyanjiangguanguangdadi/" "{'seq_sort': 240, 'relate_path': u'chongmingyanjiangguanguangdadi', 'map_info': u'121.406776,31.622433', 'sid': u'f1396311526fb820db6efab7'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/ziqingsi/" "{'seq_sort': 240, 'relate_path': u'ziqingsi', 'map_info': u'121.357604,31.118424', 'sid': u'9dfbec381df41344144463b6'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/juyinzhuangyuan/" "{'seq_sort': 240, 'relate_path': u'juyinzhuangyuan', 'map_info': u'121.466362,31.210499', 'sid': u'62503fff1e4019c66b17adb1'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/zhongguobingqibolanguan/" "{'seq_sort': 256, 'relate_path': u'zhongguobingqibolanguan', 'map_info': u'121.024951,31.109567', 'sid': u'464a8ec57454b0656bc5b1b1'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/xinbanghehuagongshe/" "{'seq_sort': 256, 'relate_path': u'xinbanghehuagongshe', 'map_info': u'121.076643,30.936986', 'sid': u'b41d14ff762fcb8f04ecdb3a'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/laomatouyangguangshatan/" "{'seq_sort': 256, 'relate_path': u'laomatouyangguangshatan', 'map_info': u'121.512955,31.225878', 'sid': u'443b0b158915309ea171692b'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/yimidanchezhijia/" "{'seq_sort': 256, 'relate_path': u'yimidanchezhijia', 'map_info': u'', 'sid': u'db211bc6adc41efa15d8b723'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/jinaoshan/" "{'seq_sort': 272, 'relate_path': u'jinaoshan', 'map_info': u'121.428309,31.622047', 'sid': u'4c958a59bdddd1b8861703b4'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shenlongyezhanjidi/" "{'seq_sort': 304, 'relate_path': u'shenlongyezhanjidi', 'map_info': u'121.581206,30.89774', 'sid': u'13f80e5c91ca872746461b0b'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/fulvsuizhi/" "{'seq_sort': 304, 'relate_path': u'fulvsuizhi', 'map_info': u'121.061575,31.116307', 'sid': u'5d0ac101f1153f0fd41f74fc'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/yirennong/" "{'seq_sort': 304, 'relate_path': u'yirennong', 'map_info': u'121.055068,31.109209', 'sid': u'7bc8300b4d19f68184d0470b'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghaidongzhengjiaotang/" "{'seq_sort': 304, 'relate_path': u'shanghaidongzhengjiaotang', 'map_info': u'121.461971,31.223825', 'sid': u'c2eef28184d01a1d89d24504'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/fengjingrenmingongshejiuzhi/" "{'seq_sort': 304, 'relate_path': u'fengjingrenmingongshejiuzhi', 'map_info': u'121.016922,30.893975', 'sid': u'030cfbdcdfcc000b29758604'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/jinpuzhaidi/" "{'seq_sort': 304, 'relate_path': u'jinpuzhaidi', 'map_info': u'121.021293,30.890543', 'sid': u'b7e38d15309ea17164141605'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/minzhucujinhuichenglijiuzhi/" "{'seq_sort': 304, 'relate_path': u'minzhucujinhuichenglijiuzhi', 'map_info': u'121.468785,31.219965', 'sid': u'e822765691f256c0a53e8ffd'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/weisijiawendaoyuan/" "{'seq_sort': 320, 'relate_path': u'weisijiawendaoyuan', 'map_info': u'121.360517,31.443351', 'sid': u'4ac63b2b6dde39224b57e2fd'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/xuhuibinjianggonggongkongjian/" "{'seq_sort': 320, 'relate_path': u'xuhuibinjianggonggongkongjian', 'map_info': u'121.470687,31.187379', 'sid': u'df11a8acab240abb6cf9cffd'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/xiaoyangshanguanfangguanguangpingtai/" "{'seq_sort': 320, 'relate_path': u'xiaoyangshanguanfangguanguangpingtai', 'map_info': u'121.853085,30.862416', 'sid': u'64ada1c71261cb1fadacc0fd'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/jinganbajingyuan/" "{'seq_sort': 320, 'relate_path': u'jinganbajingyuan', 'map_info': u'121.453691,31.228457', 'sid': u'e9a1b0f00599b2be23063405'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/yeshengdongzhiwushidigongyuan/" "{'seq_sort': 320, 'relate_path': u'yeshengdongzhiwushidigongyuan', 'map_info': u'121.620183,31.625796', 'sid': u'415fe0187498603a75a3c4fd'}" "AttractionParser" "unsupported"
