"http://www.228.com.cn:80/ticket-47670705.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47670705'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47041577.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47041577'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47038215.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47038215'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47670567.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47670567'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47675819.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47675819'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47495870.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47495870'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47093215.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47093215'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47645972.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47645972'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47623327.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47623327'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47527395.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47527395'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47351217.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47351217'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47032277.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47032277'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47700552.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47700552'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47394795.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/cd/', 'order': u'47394795'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47649154.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47649154'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47696114.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47696114'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47454032.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47454032'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47566520.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/bj/', 'order': u'47566520'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47030556.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/sh/', 'order': u'47030556'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-46911352.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/sh/', 'order': u'46911352'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47760643.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/xa/', 'order': u'47760643'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47610711.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/xa/', 'order': u'47610711'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47219314.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/cq/', 'order': u'47219314'}" "ActivityParser" "fetch error, code:599 "
"http://www.228.com.cn:80/ticket-47222120.html" "{'cookie_count': 20, 'cookie_host': 'http://www.228.com.cn/cq/', 'order': u'47222120'}" "ActivityParser" "fetch error, code:599 "
